Index,speed,x_mean,(x_mean)^2,(x_mean)^3,(x_mean)^4,,dist,x_mean,(X_MEAM)^2,(X_MEAM)^3,(x_mean)^4
1,4,-11.4,129.96,-1481.544,16889.6016,,2,-40.98,1679.3604,-68820.18919,2820251.353
2,4,4,16,64,256,,10,10,100,1000,10000
3,7,7,49,343,2401,,4,4,16,64,256
4,7,7,49,343,2401,,22,22,484,10648,234256
5,8,8,64,512,4096,,16,16,256,4096,65536
6,9,9,81,729,6561,,10,10,100,1000,10000
7,10,10,100,1000,10000,,18,18,324,5832,104976
8,10,10,100,1000,10000,,26,26,676,17576,456976
9,10,10,100,1000,10000,,34,34,1156,39304,1336336
10,11,11,121,1331,14641,,17,17,289,4913,83521
11,11,11,121,1331,14641,,28,28,784,21952,614656
12,12,12,144,1728,20736,,14,14,196,2744,38416
13,12,12,144,1728,20736,,20,20,400,8000,160000
14,12,12,144,1728,20736,,24,24,576,13824,331776
15,12,12,144,1728,20736,,28,28,784,21952,614656
16,13,13,169,2197,28561,,26,26,676,17576,456976
17,13,13,169,2197,28561,,34,34,1156,39304,1336336
18,13,13,169,2197,28561,,34,34,1156,39304,1336336
19,13,13,169,2197,28561,,46,46,2116,97336,4477456
20,14,14,196,2744,38416,,26,26,676,17576,456976
21,14,14,196,2744,38416,,36,36,1296,46656,1679616
22,14,14,196,2744,38416,,60,60,3600,216000,12960000
23,14,14,196,2744,38416,,80,80,6400,512000,40960000
24,15,15,225,3375,50625,,20,20,400,8000,160000
25,15,15,225,3375,50625,,26,26,676,17576,456976
26,15,15,225,3375,50625,,54,54,2916,157464,8503056
27,16,16,256,4096,65536,,32,32,1024,32768,1048576
28,16,16,256,4096,65536,,40,40,1600,64000,2560000
29,17,17,289,4913,83521,,32,32,1024,32768,1048576
30,17,17,289,4913,83521,,40,40,1600,64000,2560000
31,17,17,289,4913,83521,,50,50,2500,125000,6250000
32,18,18,324,5832,104976,,42,42,1764,74088,3111696
33,18,18,324,5832,104976,,56,56,3136,175616,9834496
34,18,18,324,5832,104976,,76,76,5776,438976,33362176
35,18,18,324,5832,104976,,84,84,7056,592704,49787136
36,19,19,361,6859,130321,,36,36,1296,46656,1679616
37,19,19,361,6859,130321,,46,46,2116,97336,4477456
38,19,19,361,6859,130321,,68,68,4624,314432,21381376
39,20,20,400,8000,160000,,32,32,1024,32768,1048576
40,20,20,400,8000,160000,,48,48,2304,110592,5308416
41,20,20,400,8000,160000,,52,52,2704,140608,7311616
42,20,20,400,8000,160000,,56,56,3136,175616,9834496
43,20,20,400,8000,160000,,64,64,4096,262144,16777216
44,22,22,484,10648,234256,,66,66,4356,287496,18974736
45,23,23,529,12167,279841,,54,54,2916,157464,8503056
46,24,24,576,13824,331776,,70,70,4900,343000,24010000
47,24,24,576,13824,331776,,92,92,8464,778688,71639296
48,24,24,576,13824,331776,,93,93,8649,804357,74805201
49,24,24,576,13824,331776,,120,120,14400,1728000,207360000
50,25,25,625,15625,390625,,85,85,7225,614125,52200625
sum,745,729.6,12716.96,227919.456,4428316.602,,2064,2021.02,119353.3604,8131953.811,662339053.4
count,50,50,50,50,50,,50,50,50,50,50
mean,15.4,,,,,,42.98,,,,
variance,,,254.3392,,,,,,2387.067208,,
STD var€,,,15.94801555,15.91728,15.91728,,,,48.8576218,48.85762,48.85762
Skwness,,,,1.130328889,,,,,,1.39453037,
,,,,,,,,,,,
e^3,,,,4032.798919,,,,,,116626.414,
e^4,,,,,64191.18957,,,,,,5698089.016
Skwness,,,,1.130329,,,,,,1.139453,
KURTOSIS,,,,,1.379727228,,,,,,2.324776084
